Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Bandung,12,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Bandung,56,perempuan,dokter gigi,puskesmas,2018
Kabupaten Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Bandung Barat,8,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Bandung Barat,22,perempuan,dokter gigi,puskesmas,2018
Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Bekasi,3,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Bekasi,27,perempuan,dokter gigi,puskesmas,2018
Kabupaten Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Bogor,5,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Bogor,65,perempuan,dokter gigi,puskesmas,2018
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Ciamis,3,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Ciamis,5,perempuan,dokter gigi,puskesmas,2018
Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Cianjur,1,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Cianjur,22,perempuan,dokter gigi,puskesmas,2018
Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Cirebon,11,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Cirebon,25,perempuan,dokter gigi,puskesmas,2018
Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Garut,6,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Garut,15,perempuan,dokter gigi,puskesmas,2018
Kabupaten Garut,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Indramayu,8,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Indramayu,8,perempuan,dokter gigi,puskesmas,2018
Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,puskesmas,2018
Kabupaten Karawang,9,laki-laki,dokter gigi,puskesmas,2018
Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,puskesmas,2018
Kabupaten Karawang,34,perempuan,dokter gigi,puskesmas,2018
