Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Bandung,11,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Bandung,62,perempuan,dokter gigi,puskesmas,2021
Kabupaten Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Bandung Barat,7,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Bandung Barat,26,perempuan,dokter gigi,puskesmas,2021
Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Bekasi,4,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Bekasi,42,perempuan,dokter gigi,puskesmas,2021
Kabupaten Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Bogor,6,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Bogor,62,perempuan,dokter gigi,puskesmas,2021
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Ciamis,6,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Ciamis,21,perempuan,dokter gigi,puskesmas,2021
Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Cianjur,15,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Cianjur,51,perempuan,dokter gigi,puskesmas,2021
Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Cirebon,11,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Cirebon,32,perempuan,dokter gigi,puskesmas,2021
Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Garut,7,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Garut,21,perempuan,dokter gigi,puskesmas,2021
Kabupaten Garut,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Indramayu,7,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Indramayu,25,perempuan,dokter gigi,puskesmas,2021
Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Karawang,8,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Karawang,30,perempuan,dokter gigi,puskesmas,2021
Kabupaten Karawang,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Kuningan,5,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Kuningan,11,perempuan,dokter gigi,puskesmas,2021
Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Majalengka,7,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Majalengka,11,perempuan,dokter gigi,puskesmas,2021
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Pangandaran,6,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Pangandaran,1,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Pangandaran,6,perempuan,dokter gigi,puskesmas,2021
Kabupaten Pangandaran,1,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Purwakarta,4,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Purwakarta,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Purwakarta,13,perempuan,dokter gigi,puskesmas,2021
Kabupaten Purwakarta,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Subang,6,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Subang,1,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Subang,25,perempuan,dokter gigi,puskesmas,2021
Kabupaten Subang,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Sukabumi,10,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Sukabumi,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Sukabumi,19,perempuan,dokter gigi,puskesmas,2021
Kabupaten Sukabumi,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Sumedang,3,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Sumedang,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Sumedang,15,perempuan,dokter gigi,puskesmas,2021
Kabupaten Sumedang,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kabupaten Tasikmalaya,6,laki-laki,dokter gigi,puskesmas,2021
Kabupaten Tasikmalaya,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kabupaten Tasikmalaya,15,perempuan,dokter gigi,puskesmas,2021
Kabupaten Tasikmalaya,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kota Bandung,12,laki-laki,dokter gigi,puskesmas,2021
Kota Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kota Bandung,77,perempuan,dokter gigi,puskesmas,2021
Kota Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kota Banjar,2,laki-laki,dokter gigi,puskesmas,2021
Kota Banjar,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kota Banjar,6,perempuan,dokter gigi,puskesmas,2021
Kota Banjar,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kota Bekasi,7,laki-laki,dokter gigi,puskesmas,2021
Kota Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kota Bekasi,78,perempuan,dokter gigi,puskesmas,2021
Kota Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kota Bogor,1,laki-laki,dokter gigi,puskesmas,2021
Kota Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kota Bogor,45,perempuan,dokter gigi,puskesmas,2021
Kota Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2021
Kota Cimahi,0,laki-laki,dokter gigi,puskesmas,2021
Kota Cimahi,0,laki-laki,dokter gigi spesialis,puskesmas,2021
Kota Cimahi,17,perempuan,dokter gigi,puskesmas,2021
Kota Cimahi,0,perempuan,dokter gigi spesialis,puskesmas,2021
