Kab/Kota,jumlah,jns_kelamin,profesi,unit_kerja,tahun
Kabupaten Bandung,13,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bandung,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung,61,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bandung,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung Barat,6,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bandung Barat,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bandung Barat,25,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bandung Barat,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bekasi,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bekasi,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bekasi,39,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bekasi,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Bogor,5,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Bogor,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Bogor,56,perempuan,dokter gigi,puskesmas,2019
Kabupaten Bogor,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Ciamis,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Ciamis,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Ciamis,12,perempuan,dokter gigi,puskesmas,2019
Kabupaten Ciamis,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Cianjur,5,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Cianjur,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Cianjur,27,perempuan,dokter gigi,puskesmas,2019
Kabupaten Cianjur,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Cirebon,9,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Cirebon,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Cirebon,27,perempuan,dokter gigi,puskesmas,2019
Kabupaten Cirebon,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Garut,8,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Garut,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Garut,19,perempuan,dokter gigi,puskesmas,2019
Kabupaten Garut,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Indramayu,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Indramayu,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Indramayu,19,perempuan,dokter gigi,puskesmas,2019
Kabupaten Indramayu,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Karawang,7,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Karawang,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Karawang,26,perempuan,dokter gigi,puskesmas,2019
Kabupaten Karawang,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Kuningan,5,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Kuningan,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Kuningan,10,perempuan,dokter gigi,puskesmas,2019
Kabupaten Kuningan,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Majalengka,4,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Majalengka,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Majalengka,14,perempuan,dokter gigi,puskesmas,2019
Kabupaten Majalengka,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Pangandaran,3,laki-laki,dokter gigi,puskesmas,2019
Kabupaten Pangandaran,0,laki-laki,dokter gigi spesialis,puskesmas,2019
Kabupaten Pangandaran,6,perempuan,dokter gigi,puskesmas,2019
Kabupaten Pangandaran,0,perempuan,dokter gigi spesialis,puskesmas,2019
Kabupaten Purwakarta,4,laki-laki,dokter gigi,puskesmas,2019
